max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,episodes,total-samples
-12.881444,-12.881444,-12.881444,-12.881444,-12.881444,-12.881444,1,1
-12.5297,-12.5297,-12.5297,-12.5297,-12.5297,-12.5297,2,2
-12.51331,-12.51331,-12.51331,-12.51331,-12.51331,-12.51331,3,3
-11.963181,-11.963181,-11.963181,-11.963181,-11.963181,-11.963181,4,4
-11.963181,-13.119891,-13.119891,-11.963181,-13.119891,-13.119891,5,5
-11.963181,-13.164917,-13.164917,-11.963181,-13.164917,-13.164917,6,6
-11.963181,-13.471275,-13.471275,-11.963181,-13.471275,-13.471275,7,7
-11.963181,-12.349864,-12.349864,-11.963181,-12.349864,-12.349864,8,8
-11.963181,-12.924225,-12.924225,-11.963181,-12.924225,-12.924225,9,9
-11.963181,-13.320409,-13.320409,-11.963181,-13.320409,-13.320409,10,10
-11.963181,-12.153221,-12.153221,-11.963181,-12.153221,-12.153221,11,11
-11.963181,-12.928716,-12.928716,-11.963181,-12.928716,-12.928716,12,12
-11.963181,-12.672931,-12.672931,-11.963181,-12.672931,-12.672931,13,13
-11.963181,-12.982798,-12.982798,-11.963181,-12.982798,-12.982798,14,14
-11.963181,-13.036539,-13.036539,-11.963181,-13.036539,-13.036539,15,15
-11.963181,-12.838292,-12.838292,-11.963181,-12.838292,-12.838292,16,16
-11.963181,-12.325198,-12.325198,-11.963181,-12.325198,-12.325198,17,17
-11.963181,-12.473403,-12.473403,-11.963181,-12.473403,-12.473403,18,18
-11.963181,-12.747565,-12.747565,-11.963181,-12.747565,-12.747565,19,19
-11.963181,-12.941037,-12.941037,-11.963181,-12.941037,-12.941037,20,20
-11.757731,-11.757731,-11.757731,-11.757731,-11.757731,-11.757731,21,21
-11.757731,-12.95927,-12.95927,-11.757731,-12.95927,-12.95927,22,22
-11.757731,-12.62763,-12.62763,-11.757731,-12.62763,-12.62763,23,23
-11.757731,-12.886365,-12.886365,-11.757731,-12.886365,-12.886365,24,24
-11.757731,-12.173267,-12.173267,-11.757731,-12.173267,-12.173267,25,25
-11.757731,-13.104167,-13.104167,-11.757731,-13.104167,-13.104167,26,26
-11.757731,-13.091951,-13.091951,-11.757731,-13.091951,-13.091951,27,27
-11.757731,-13.1321125,-13.1321125,-11.757731,-13.1321125,-13.1321125,28,28
-11.757731,-12.823412,-12.823412,-11.757731,-12.823412,-12.823412,29,29
