max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,episodes,total-samples
-13.4636,-13.4636,-13.4636,-13.4636,-13.4636,-13.4636,1,1
-13.4636,-13.605117,-13.605117,-13.4636,-13.605117,-13.605117,2,2
-13.110521,-13.110521,-13.110521,-13.110521,-13.110521,-13.110521,3,3
-13.110521,-14.228705,-14.228705,-13.110521,-14.228705,-14.228705,4,4
-13.110521,-13.943486,-13.943486,-13.110521,-13.943486,-13.943486,5,5
-13.110521,-13.564697,-13.564697,-13.110521,-13.564697,-13.564697,6,6
-13.110521,-14.314196,-14.314196,-13.110521,-14.314196,-14.314196,7,7
-13.110521,-13.346499,-13.346499,-13.110521,-13.346499,-13.346499,8,8
-13.110521,-13.885307,-13.885307,-13.110521,-13.885307,-13.885307,9,9
-13.110521,-14.48057,-14.48057,-13.110521,-14.48057,-14.48057,10,10
-13.00445,-13.00445,-13.00445,-13.00445,-13.00445,-13.00445,11,11
-12.920407,-12.920407,-12.920407,-12.920407,-12.920407,-12.920407,12,12
-12.920407,-13.580428,-13.580428,-12.920407,-13.580428,-13.580428,13,13
-12.920407,-13.462516,-13.462516,-12.920407,-13.462516,-13.462516,14,14
-12.920407,-13.626999,-13.626999,-12.920407,-13.626999,-13.626999,15,15
-12.920407,-13.792518,-13.792518,-12.920407,-13.792518,-13.792518,16,16
-12.920407,-13.184153,-13.184153,-12.920407,-13.184153,-13.184153,17,17
-12.920407,-13.300048,-13.300048,-12.920407,-13.300048,-13.300048,18,18
-12.920407,-14.1252775,-14.1252775,-12.920407,-14.1252775,-14.1252775,19,19
-12.920407,-14.578784,-14.578784,-12.920407,-14.578784,-14.578784,20,20
-12.920407,-13.797897,-13.797897,-12.920407,-13.797897,-13.797897,21,21
-12.920407,-13.478139,-13.478139,-12.920407,-13.478139,-13.478139,22,22
-12.920407,-14.0068,-14.0068,-12.920407,-14.0068,-14.0068,23,23
-12.920407,-13.828197,-13.828197,-12.920407,-13.828197,-13.828197,24,24
-12.920407,-13.485919,-13.485919,-12.920407,-13.485919,-13.485919,25,25
-12.920407,-13.530322,-13.530322,-12.920407,-13.530322,-13.530322,26,26
-12.920407,-13.620242,-13.620242,-12.920407,-13.620242,-13.620242,27,27
-12.920407,-13.343686,-13.343686,-12.920407,-13.343686,-13.343686,28,28
-12.920407,-13.050466,-13.050466,-12.920407,-13.050466,-13.050466,29,29
-12.920407,-13.214635,-13.214635,-12.920407,-13.214635,-13.214635,30,30
-12.920407,-14.201904,-14.201904,-12.920407,-14.201904,-14.201904,31,31
-12.906272,-12.906272,-12.906272,-12.906272,-12.906272,-12.906272,32,32
-12.906272,-14.093455,-14.093455,-12.906272,-14.093455,-14.093455,33,33
-12.906272,-14.663539,-14.663539,-12.906272,-14.663539,-14.663539,34,34
-12.906272,-14.174952,-14.174952,-12.906272,-14.174952,-14.174952,35,35
-12.906272,-14.0180235,-14.0180235,-12.906272,-14.0180235,-14.0180235,36,36
-12.906272,-13.684522,-13.684522,-12.906272,-13.684522,-13.684522,37,37
-12.906272,-13.177673,-13.177673,-12.906272,-13.177673,-13.177673,38,38
-12.906272,-13.69755,-13.69755,-12.906272,-13.69755,-13.69755,39,39
-12.906272,-13.59969,-13.59969,-12.906272,-13.59969,-13.59969,40,40
-12.906272,-13.738376,-13.738376,-12.906272,-13.738376,-13.738376,41,41
-12.906272,-14.317263,-14.317263,-12.906272,-14.317263,-14.317263,42,42
-12.906272,-13.332747,-13.332747,-12.906272,-13.332747,-13.332747,43,43
-12.906272,-13.564774,-13.564774,-12.906272,-13.564774,-13.564774,44,44
-12.906272,-13.750076,-13.750076,-12.906272,-13.750076,-13.750076,45,45
-12.906272,-13.636306,-13.636306,-12.906272,-13.636306,-13.636306,46,46
-12.906272,-13.861755,-13.861755,-12.906272,-13.861755,-13.861755,47,47
-12.906272,-14.691904,-14.691904,-12.906272,-14.691904,-14.691904,48,48
-12.906272,-13.633506,-13.633506,-12.906272,-13.633506,-13.633506,49,49
-12.906272,-13.530658,-13.530658,-12.906272,-13.530658,-13.530658,50,50
-12.906272,-14.039563,-14.039563,-12.906272,-14.039563,-14.039563,51,51
-12.906272,-13.776985,-13.776985,-12.906272,-13.776985,-13.776985,52,52
-12.906272,-14.222137,-14.222137,-12.906272,-14.222137,-14.222137,53,53
-12.906272,-13.492053,-13.492053,-12.906272,-13.492053,-13.492053,54,54
-12.906272,-13.495082,-13.495082,-12.906272,-13.495082,-13.495082,55,55
-12.906272,-13.841636,-13.841636,-12.906272,-13.841636,-13.841636,56,56
-12.906272,-13.779991,-13.779991,-12.906272,-13.779991,-13.779991,57,57
-12.906272,-13.447392,-13.447392,-12.906272,-13.447392,-13.447392,58,58
-12.906272,-13.323005,-13.323005,-12.906272,-13.323005,-13.323005,59,59
-12.906272,-14.156714,-14.156714,-12.906272,-14.156714,-14.156714,60,60
